"","Belgium","France","Germany","Italy","Netherlands","Norway","Portugal","Spain","Switzerland","United_Kingdom"
"Belgium",0,-1.19731419254197,0.190539279950719,0.122984033113121,-2.20865897279674,0.808725822749856,-0.752188771012068,0.298434582789173,-0.750173562434871,0.71634088393247
"France",-1.19731419254197,0,1.00009465879126,0.601644975384886,1.01313052883652,1.75436543503135,-1.22850068794341,0.743305985406047,-1.17733144749986,1.1400867882252
"Germany",0.190539279950719,1.00009465879126,0,-0.0401320643078784,-0.316702051469465,0.402758366797553,0.246536140270702,0.789271907676979,-1.80440672612981,0.740632017808327
"Italy",0.122984033113121,0.601644975384886,-0.0401320643078784,0,0.638957002454698,1.4437151581482,0.740146448784576,0.0139853827491292,-1.72802617025216,0.284306413414238
"Netherlands",-2.20865897279674,1.01313052883652,-0.316702051469465,0.638957002454698,0,0.097320625846928,-0.198764434980901,0.605239750841065,-0.39098511549919,0.337105982265749
"Norway",0.808725822749856,1.75436543503135,0.402758366797553,1.4437151581482,0.097320625846928,0,0.659513622238612,0.933176610782106,-0.30400997655855,0.258006184842638
"Portugal",-0.752188771012068,-1.22850068794341,0.246536140270702,0.740146448784576,-0.198764434980901,0.659513622238612,0,-0.62066171087651,-3.38550213658439,-0.658889024556889
"Spain",0.298434582789173,0.743305985406047,0.789271907676979,0.0139853827491292,0.605239750841065,0.933176610782106,-0.62066171087651,0,-0.287317508257882,0.404991063232023
"Switzerland",-0.750173562434871,-1.17733144749986,-1.80440672612981,-1.72802617025216,-0.39098511549919,-0.30400997655855,-3.38550213658439,-0.287317508257882,0,0.064248901338401
"United_Kingdom",0.71634088393247,1.1400867882252,0.740632017808327,0.284306413414238,0.337105982265749,0.258006184842638,-0.658889024556889,0.404991063232023,0.064248901338401,0
