,Guangzhou,Sanmenxia,Luohe,Xinxiang,Linyi1,Suzhou,Linyi2,Nanning,Suqian,Chuzhou
Guangzhou,0,1273.438,1160.656,1343.224,1417.564,1251.659,1384.497,412.001,1274.178,1087.105
Sanmenxia,1273.438,0,279.574,261.862,708.228,539.474,691.349,1348.028,665.886,727.099
Luohe,1160.656,279.574,0,183.848,473.722,279.412,450.07,1319.595,401.795,447.732
Xinxiang,1343.224,261.862,183.848,0,457.399,319.654,444.864,1488.16,442.044,557.588
Linyi1,1417.564,708.228,473.722,457.399,0,206.257,33.23,1670.382,143.653,346.363
Suzhou,1251.659,539.474,279.412,319.654,206.257,0,177.708,1480.635,126.506,262.77
Linyi2,1384.497,691.349,450.07,444.864,33.23,177.708,0,1637.38,110.945,315.527
Nanning,412.001,1348.028,1319.595,1488.16,1670.382,1480.635,1637.38,0,1532.471,1372.214
Suqian,1274.178,665.886,401.795,442.044,143.653,126.506,110.945,1532.471,0,207.927
Chuzhou,1087.105,727.099,447.732,557.588,346.363,262.77,315.527,1372.214,207.927,0
